name,year,made_at,size,catalog_no,filename
Still Life With Cabbage And Clogs,1881,The Hague,Oil on paper on panel 34 x 55 cm,F 1 - JH 81,deep1_still_life_with_cabbage_and_clogs.jpg
Beach At Scheveningen In Calm Weather,1882,The Hague,35.5 x 49.5 cm,F 2 - JH 173,deep2_beach_at_scheveningen_in_calm_weather.jpg
Dunes,1882,The Hague,Oil on panel 36 x 58.5 cm,F 2a - JH 176,deep3_dunes.jpg
Women Mending Nets In The Dunes,1882,The Hague,Oil on paper on panel 42 x 62.5 cm,F 7 - JH 178,deep4_women_mending_nets_in_the_dunes.jpg
"A Girl In The Street, Two Coaches In The Background",1882,The Hague,Oil on canvas on panel 42 x 53 cm,F 13 - JH 179,"deep5_a_girl_in_the_street,_two_coaches_in_the_background.jpg"
Girl In The Woods,1882,The Hague,Oil on panel 35 x 47 cm,F 8a - JH 180,deep6_girl_in_the_woods.jpg
Two Women In The Woods,1882,The Hague,Oil on paper on panel 35 x 24.5 cm,F 1665 - JH 181,deep7_two_women_in_the_woods.jpg
Girl In White In The Woods,1882,The Hague,39 x 59 cm,F 8 - JH 182,deep8_girl_in_white_in_the_woods.jpg
Edge Of A Wood,1882,The Hague,Oil on canvas on panel 34.5 x 49 cm,F 192 - JH 184,deep9_edge_of_a_wood.jpg
Man Stooping With Stick Or Spade,1882,The Hague,Oil on paper on panel 31 x 29.5 cm,F 12 - JH 185,deep10_man_stooping_with_stick_or_spade.jpg
Dunes With Figures,1882,The Hague,Oil on canvas on panel 24 x 32 cm,F 3 - JH 186,deep11_dunes_with_figures.jpg
Beach At Scheveningen In Stormy Weather,1882,Scheveningen,34.5 x 21 cm,F 4 - JH 187,deep12_beach_at_scheveningen_in_stormy_weather.jpg
Fisherman On The Beach,1882,The Hague,Oil on canvas on panel 51 x 33.5 cm,F 5 - JH 188,deep13_fisherman_on_the_beach.jpg
Fisherman'S Wife On The Beach,1882,The Hague,Oil on canvas on panel 52 x 34 cm,F 6 - JH 189,deep14_fisherman's_wife_on_the_beach.jpg
Cluster Of Old Houses With The New Church In The Hague,1882,The Hague,Oil on canvas on cardboard 34 x 25 cm,F 204 - JH 190,deep15_cluster_of_old_houses_with_the_new_church_in_the_hague.jpg
Bulb Fields,1883,The Hague,Oil on canvas on panel 48 x 65 cm,F 186 - JH 361,deep16_bulb_fields.jpg
Three Figures Near A Canal With Windmill,1883,The Hague,Unknown,F 1666 - JH 383,deep17_three_figures_near_a_canal_with_windmill.jpg
A Wind-Beaten Tree,1883,The Hague,35 x 47 cm,F 10 - JH 384,deep18_a_wind-beaten_tree.jpg
Potato Digging (Five Figures),1883,The Hague,39.5 x 94.5 cm,F 9 - JH 385,deep19_potato_digging_(five_figures).jpg
Footbridge Across A Ditch,1883,The Hague,60 x 45.8 cm,F 189 - JH 386,deep20_footbridge_across_a_ditch.jpg
Cows In The Meadow,1883,The Hague,Oil on canvas on panel 31.5 x 44 cm,F 15 - JH 387,deep21_cows_in_the_meadow.jpg
Lying Cow,1883,The Hague,30 x 50 cm,F 1b - JH 388,deep22_lying_cow.jpg
Lying Cow,1883,The Hague,19 x 47.5 cm,F 1c - JH 389,deep23_lying_cow.jpg
Farmhouses In Loosduinen Near The Hague At Twilight,1883,The Hague,Oil on canvas on panel 33 x 50 cm,F 16 - JH 391,deep24_farmhouses_in_loosduinen_near_the_hague_at_twilight.jpg
The Sower (Study),1883,The Hague,19 x 27.5 cm,F 11 - JH 392,deep25_the_sower_(study).jpg
Landscape With Dunes,1883,The Hague,Oil on panel 33.5 x 48.5 cm,F 15a - JH 393,deep26_landscape_with_dunes.jpg
Marshy Landscape,1883,The Hague,25 x 45.5 cm,JH 394,deep27_marshy_landscape.jpg
Cottages,1883,Nieuw-Amsterdam,35.5 x 55.5 cm,F 17 - JH 395,deep28_cottages.jpg
Farmhouse Among Trees,1883,The Hague,Oil on canvas on panel 28.5 x 39.5 cm,F 18 - JH 397,deep29_farmhouse_among_trees.jpg
Two Women In The Moor,1883,Nieuw-Amsterdam,27.8 x 36.5 cm,F 19 - JH 409,deep30_two_women_in_the_moor.jpg
Landscape With A Church At Twilight,1883,Drenthe,Oil on cardboard on panel 36 x 53 cm,F 188 - JH 413,deep31_landscape_with_a_church_at_twilight.jpg
Peat Boat With Two Figures,1883,Drenthe,Oil on canvas on panel 37 x 55.5 cm,F 21 - JH 415,deep32_peat_boat_with_two_figures.jpg
Peasant Burning Weeds,1883,Drenthe,Oil on canvas on panel 30.5 x 39.5 cm,F 20 - JH 417,deep33_peasant_burning_weeds.jpg
Farm With Stacks Of Peat,1883,Nieuw-Amsterdam,37.5 x 55 cm,F 22 - JH 421,deep34_farm_with_stacks_of_peat.jpg
Weaver Facing Right (Half-Figure),1884,Nuenen,48 x 46cm,F 26 - JH 450,deep35_weaver_facing_right_(half-figure).jpg
Weaver Facing Right,1884,Nuenen,Oil on canvas on panel 37 x 45cm,F 162 - JH 457,deep36_weaver_facing_right.jpg
The Old Tower At Nuenen With A Ploughman,1884,Nuenen,34.5 x 42cm,F 34 - JH 459,deep37_the_old_tower_at_nuenen_with_a_ploughman.jpg
Weaver Facing Left With Spinning Wheel,1884,Nuenen,61 x 85cm,F 29 - JH 471,deep38_weaver_facing_left_with_spinning_wheel.jpg
Landscape With Pollard Willows,1884,Nuenen,Oil on canvas on panel 43 x 58cm,F 31 - JH 477,deep39_landscape_with_pollard_willows.jpg
Weaver Arranging Threads,1884,Nuenen,Oil on canvas on panel 41 x 57cm,F 35 - JH 478,deep40_weaver_arranging_threads.jpg
The Old Tower Of Nuenen With People Walking,1884,Nuenen,Oil on canvas on panel 33.5 x 44cm,F 184 - JH 458,deep41_the_old_tower_of_nuenen_with_people_walking.jpg
Loom With Weaver,1884,Nuenen,70 x 85cm,F 30 - JH 479,deep42_loom_with_weaver.jpg
Weaver Standing In Front Of A Loom,1884,Nuenen,Oil on panel 19 x 41cm,F 32 - JH 480,deep43_weaver_standing_in_front_of_a_loom.jpg
The Parsonage Garden At Nuenen,1884,Nuenen,Oil on paper on panel 25 x 57cm,F 185 - JH 484,deep44_the_parsonage_garden_at_nuenen.jpg
Water Mill At Kollen Near Nuenen,1884,Nuenen,Oil on canvas on cardboard 57.5 x 78cm,F 48a - JH 488,deep45_water_mill_at_kollen_near_nuenen.jpg
Weaver Standing In Front Of A Loom,1884,Nuenen,55 x 79cm,F 33 - JH 489,deep46_weaver_standing_in_front_of_a_loom.jpg
The Old Church Tower At Nuenen,1884,Nuenen,Oil on canvas on panel 47.5 x 55cm,F 88 - JH 490,deep47_the_old_church_tower_at_nuenen.jpg
"Weaver, Nearer An Open Windows",1884,Nuenen,67.7 x 93.2cm,F 24 - JH 500,"deep48_weaver,_nearer_an_open_windows.jpg"
"Weaver, Interior With Three Small Windows",1884,Nuenen,61 x 93cm,F 37 - JH 501,"deep49_weaver,_interior_with_three_small_windows.jpg"
"Weaver, Seen From The Front",1884,Nuenen,Oil on canvas on panel 47 x 61.3cm,F 27 - JH 503,"deep50_weaver,_seen_from_the_front.jpg"
Cart With Red And White Ox,1884,Nuenen,Oil on canvas on panel 57 x 82.5cm,F 38 - JH 504,deep51_cart_with_red_and_white_ox.jpg
Cart With Black Ox,1884,Nuenen,60 x 80cm,F 39 - JH 505,deep52_cart_with_black_ox.jpg
The Old Tower In The Fields,1884,Nuenen,Oil on canvas on cardboard 35 x 47cm,F 40 - JH 507,deep53_the_old_tower_in_the_fields.jpg
Village At Sunset,1884,Nuenen,Oil on paper on cardboard 57 x 82cm,F 190 - JH 492,deep54_village_at_sunset.jpg
Farmers Planting Potatoes,1884,Nuenen,66 x 149cm,F 41 - JH 513,deep55_farmers_planting_potatoes.jpg
Potato Planting,1884,Nuenen,70.5 x 170cm,F 172 - JH 514,deep56_potato_planting.jpg
Wood Gatherers In The Snow,1884,Nuenen,Oil on canvas on panel 67 x 126cm,F 43 - JH 516,deep57_wood_gatherers_in_the_snow.jpg
Shepherd With A Flock Of Sheep,1884,Nuenen,Oil on canvas on cardboard 67 x 126cm,F 42 - JH 517,deep58_shepherd_with_a_flock_of_sheep.jpg
Avenue Of Poplars At Sunset,1884,Nuenen,45.5 x 32.5cm,F 123 - JH 518,deep59_avenue_of_poplars_at_sunset.jpg
Lane In Autumn,1884,Nuenen,Oil on canvas on panel 46 x 35cm,F 120 - JH 519,deep60_lane_in_autumn.jpg
Avenue Of Poplars In Autumn,1884,Nuenen,Oil on canvas on panel 99 x 66cm,F 122 - JH 522,deep61_avenue_of_poplars_in_autumn.jpg
Congregation Leaving The Reformed Church In Nuenen,188485,Nuenen,41.3 x 32.1cm,F 25 - JH 521,deep62_congregation_leaving_the_reformed_church_in_nuenen.jpg
Vase With Honesty,188485,Nuenen,42.7 x 31.7cm,F 76 - JH 542,deep63_vase_with_honesty.jpg
Water Mill At Gennep,1884,Nuenen,60 x 78.5cm,F 46 - JH 524,deep64_water_mill_at_gennep.jpg
Water Mill At Gennep,1884,Nuenen,85 x 151cm,F 125 - JH 525,deep65_water_mill_at_gennep.jpg
Water Mill At Gennep,1884,Nuenen,Oil on cardboard 75 x 100cm,F 1144a - JH 523,deep66_water_mill_at_gennep.jpg
Water Mill At Opwetten,1884,Nuenen,Oil on canvas on panel 45 x 58cm,F 48 - JH 527,deep67_water_mill_at_opwetten.jpg
"Still Life With Pots, Jar And Bottles",1884,Nuenen,29.5 x 39.5cm,F 178r - JH 528,"deep68_still_life_with_pots,_jar_and_bottles.jpg"
"Still Life With Four Stone Bottles, Flask And White Cup",1884,Nuenen,33 x 41cm,F 50 - JH 529,"deep69_still_life_with_four_stone_bottles,_flask_and_white_cup.jpg"
Still Life With Five Bottles,1884,Nuenen,46.5 x 56cm,F 56 - JH 530,deep70_still_life_with_five_bottles.jpg
"Still Life With Pottery, Beerr Glass And Bottle",1884,Nuenen,Oil on canvas on panel 31 x 41cm,F 58 - JH 531,"deep71_still_life_with_pottery,_beerr_glass_and_bottle.jpg"
Still Life With Two Sacks And A Bottle,1884,Nuenen,Oil on canvas on panel 31.7 x 42cm,F 55 - JH 532,deep72_still_life_with_two_sacks_and_a_bottle.jpg
Still Life With Two Sacks And A Bottle,1884,Nuenen,31.5 x 41.7cm,F61r - JH 533,deep73_still_life_with_two_sacks_and_a_bottle.jpg
Beer Tankards,1884,Nuenen,31.5 x 42.5cm,F49 - JH 534,deep74_beer_tankards.jpg
"Still Life With Coffee Mill, Pipe Case And Jug",1884,Nuenen,34 x 43cm,F 52 - JH 535,"deep75_still_life_with_coffee_mill,_pipe_case_and_jug.jpg"
Still Life With Clogs And Pots,1884,Nuenen,Oil on canvas on panel 42 x 54cm,F 54 - JH 536,deep76_still_life_with_clogs_and_pots.jpg
Still Life With Bottles And A Cowrie Shell,1884,Nuenen,Oil on canvas on cardboard 30.5 x 40cm,F 64 - JH 537,deep77_still_life_with_bottles_and_a_cowrie_shell.jpg
Still Life With Pottery And Two Bottles,1884,Nuenen,40 x 56cm,F 57 - JH 539,deep78_still_life_with_pottery_and_two_bottles.jpg
Still Life With Paintbrushes In A Pot,1884,Nuenen,Oil on canvas on panel 31.5 x 41.5cm,F 60 - JH 540,deep79_still_life_with_paintbrushes_in_a_pot.jpg
Vase With Dead Leaves,1884,Nuenen,Oil on canvas on panel 41.5 x 31cm,F 200 - JH 541,deep80_vase_with_dead_leaves.jpg
Two Rats,1884,Nuenen,Oil on panel 29.5 x 41.5cm,F 177 - JH 543,deep81_two_rats.jpg
"Peasant Woman, Seated With White Cap",1884,Nuenen,Oil on canvas on panel 36 x 26cm,F 143 - JH 546,"deep82_peasant_woman,_seated_with_white_cap.jpg"
Head Of A Peasant Woman With Dark Cap,1884,Nuenen,Oil on canvas panel 35 x 26cm,F 136a - JH 548,deep83_head_of_a_peasant_woman_with_dark_cap.jpg
Head Of An Old Peasant Woman With White Cap,1884,Nuenen,36.5 x 29.5cm,F 75 - JH 550,deep84_head_of_an_old_peasant_woman_with_white_cap.jpg
Head Of An Old Peasant Woman With White Cap,1884,Nuenen,Oil on canvas cardboard 33 x 26cm,F 146 - JH 551,deep85_head_of_an_old_peasant_woman_with_white_cap.jpg
Head Of A Peasant Woman With White Cap,1884,Nuenen,Oil on canvas panel 40.5 x 30.5cm,F 144 - JH 561,deep86_head_of_a_peasant_woman_with_white_cap.jpg
Head Of A Peasant With Cap,1884,Nuenen,39.4 x 30.2cm,F 160a - JH 563,deep87_head_of_a_peasant_with_cap.jpg
Head Of A Peasant Woman With Cap,1884,Nuenen,43.5 x 37cm,F 146a - JH 565,deep88_head_of_a_peasant_woman_with_cap.jpg
Head Of A Peasant Woman,1884,Nuenen,Oil on canvas on panel 40 x 32.5cm,F 132 - JH 574,deep89_head_of_a_peasant_woman.jpg
Head Of A Woman,188485,Nuenen,Oil on canvas on panel 47.8 x 34.8cm,F 159,deep90_head_of_a_woman.jpg
Still Life With Earthenware And Bottles,188485,Nuenen,40 x 50cm,F 53 - JH 538,deep91_still_life_with_earthenware_and_bottles.jpg
Head Of A Man,188485,Nuenen,37.7 x 29.5cm,F 164 - JH 558,deep92_head_of_a_man.jpg
Head Of A Woman,188485,Nuenen,42 x 33.3cm,F 156 - JH 569,deep93_head_of_a_woman.jpg
Head Of A Peasant With Cap,1885,Nuenen,35.5 x 26cm,F 169a - JH 583,deep94_head_of_a_peasant_with_cap.jpg
Head Of A Peasant Woman With Dark Cap,1885,Nuenen,39.5 x 30cm,F 133 - JH 584,deep95_head_of_a_peasant_woman_with_dark_cap.jpg
Head Of A Peasant Woman,1885,Nuenen,Oil on canvas on panel 37.5 x 24.5cm,F 135 - JH 585,deep96_head_of_a_peasant_woman.jpg
Head Of A Peasant Woman With Dark Cap,1885,Nuenen,Oil on canvas on panel 25 x 19cm,F 153a - JH 586,deep97_head_of_a_peasant_woman_with_dark_cap.jpg
Head Of A Woman,1885,Nuenen,Oil on canvas on panel 26 x 20cm,F 153 - JH 587,deep98_head_of_a_woman.jpg
Head Of A Peasant Woman,1885,Nuenen,40 x 30.5cm,F 137 - JH 593,deep99_head_of_a_peasant_woman.jpg
The Old Cemetery Tower At Nuenen In The Snow,1885,Nuenen,Oil on canvas on cardboard 30 x 41.5cm,F 87 - JH 600,deep100_the_old_cemetery_tower_at_nuenen_in_the_snow.jpg
The Old Station At Eindhoven,1885,Nuenen,13.5 x 24cm,F 67a - JH 602,deep101_the_old_station_at_eindhoven.jpg
The Parsonage Garden At Nuenen In The Snow,1885,Nuenen,Oil on canvas on panel 51 x 77cm,F 194 - JH 603,deep102_the_parsonage_garden_at_nuenen_in_the_snow.jpg
The Parsonage Garden At Nuenen In The Snow,1885,Nuenen,Oil on canvas on panel 53 x 78cm,F 67 - JH 604,deep103_the_parsonage_garden_at_nuenen_in_the_snow.jpg
Head Of A Peasant Woman With Brownish Cap,1885,Nuenen,40 x 30cm,F 154 - JH 608,deep104_head_of_a_peasant_woman_with_brownish_cap.jpg
Head Of A Peasant Woman With White Cap,1885,Nuenen,38 x 30cm,F 65 - JH 627,deep105_head_of_a_peasant_woman_with_white_cap.jpg
Head Of A Peasant Woman With Dark Cap,1885,Nuenen,40.6 x 31.7cm,F 1667 - JH 629,deep106_head_of_a_peasant_woman_with_dark_cap.jpg
Head Of A Peasant With A Pipe,1885,Nuenen,44 x 32cm,F 169 - JH 633,deep107_head_of_a_peasant_with_a_pipe.jpg
Head Of A Woman,1885,Nuenen,36 x 25.5cm,F 151 - JH 649,deep108_head_of_a_woman.jpg
Head Of A Peasant Woman With Dark Cap,1885,Nuenen,32 x 24.5cm,F 138 - JH 644,deep109_head_of_a_peasant_woman_with_dark_cap.jpg
"Peasant Woman, Seated (Half-Figure)",1885,Nuenen,Oil on canvas on panel 46 x 27cm,F 127 - JH 651,"deep110_peasant_woman,_seated_(half-figure).jpg"
Peasant Woman Peeling Potatoes,1885,Nuenen,Oil on canvas on panel 43 x 31cm,F 145 - JH 653,deep111_peasant_woman_peeling_potatoes.jpg
The Potato Peeler,1885,Nuenen,41 x 31.5cm,F 365r - JH 654,deep112_the_potato_peeler.jpg
Peasant Woman Sewing,1885,Nuenen,42.5 x 33cm,F 126a - JH 655,deep113_peasant_woman_sewing.jpg
Peasant Making A Basket,1885,Nuenen,41 x 33cm,F 171a - JH 657,deep114_peasant_making_a_basket.jpg
Peasant Making A Basket,1885,Nuenen,41 x 33cm,F 171 - JH 658,deep115_peasant_making_a_basket.jpg
Head Of A Peasant,1885,Nuenen,47 x 30cm,F 168 - JH 632,deep116_head_of_a_peasant.jpg
Head Of A Peasant Woman With Greenish Lace Cap,1885,Nuenen,Oil on canvas on panel 38 x 28.5cm,F 74 - JH 648,deep117_head_of_a_peasant_woman_with_greenish_lace_cap.jpg
Head Of A Young Peasant Woman With Dark Cap,1885,Nuenen,39 x 26cm,F 150 - JH 650,deep118_head_of_a_young_peasant_woman_with_dark_cap.jpg
Peasant Woman Sweeping The Floor,1885,Nuenen,41 x 27cm,F 152 - JH 656,deep119_peasant_woman_sweeping_the_floor.jpg
Peasant Woman Taking Her Meal,1885,Nuenen,42 x 29cm,F 72 - JH 718,deep120_peasant_woman_taking_her_meal.jpg
Head Of A Peasant Woman With White Cap,1885,Nuenen,Oil on canvas on panel 41 x 31.5cm,F 80 - JH 681,deep121_head_of_a_peasant_woman_with_white_cap.jpg
Head Of A Woman,1885,Nuenen,Oil on canvas marouflagued on triplex 42.2 x 34.8cm,F80a - JH 682,deep122_head_of_a_woman.jpg
Head Of A Peasant Woman With Brownish Cap,1885,Nuenen,Oil on canvas on panel 40 x 30cm,F 136 - JH 683,deep123_head_of_a_peasant_woman_with_brownish_cap.jpg
Head Of A Peasant Woman With Dark Cap,1885,Nuenen,Oil on canvas on panel 38.5 x 26.5cm,F 134 - JH 684,deep124_head_of_a_peasant_woman_with_dark_cap.jpg
Head Of A Peasant Woman With White Cap,1885,Nuenen,Oil on canvas on panel 41 x 35cm,F 131 - JH 685,deep125_head_of_a_peasant_woman_with_white_cap.jpg
Head Of A Young Peasant With A Peaked Cap,1885,Nuenen,39 x 30.5cm,F 163 - JH 687,deep126_head_of_a_young_peasant_with_a_peaked_cap.jpg
Head Of A Young Peasant With A Peaked Cap,1885,Nuenen,Oil on panel 44.5 x 33.5cm,F 165 - JH 688,deep127_head_of_a_young_peasant_with_a_peaked_cap.jpg
Peasant Woman With Child On Her Lap,1885,Nuenen,Oil on canvas on cardboard 43 x 34cm,F 149 - JH 690,deep128_peasant_woman_with_child_on_her_lap.jpg
"Gordinad De Groot, Hedad",1885,Nuenen,Oil on canvas on panel 41 x 32m,F 1668 - JH 691,"deep129_gordinad_de_groot,_hedad.jpg"
Head Of A Woman,1885,Nuenen,42.7 x 33.5cm,F130 - JH 692,deep130_head_of_a_woman.jpg
Head Of A Peasant Woman With White Cap,1885,Nuenen,Oil on canvas on panel 47 x 34.5m,F 85a - JH 694,deep131_head_of_a_peasant_woman_with_white_cap.jpg
Head Of A Peasant Woman With White Cap,1885,Nuenen,Oil on panel 41 x 31.5cm,F 81 - JH 695,deep132_head_of_a_peasant_woman_with_white_cap.jpg
Peasant Woman Standing Indoors,1885,Nuenen,Oil on canvas on panel 41 x 26cm,F 128 - JH 697,deep133_peasant_woman_standing_indoors.jpg
Woman Winding Yarn,1885,Nuenen,40.5 x 31.7cm,F36 - JH 698,deep134_woman_winding_yarn.jpg
Head Of A Peasant Woman With White Cap,1885,Nuenen,Oil on canvas on panel 36 x 27cm,F 144a - JH 704,deep135_head_of_a_peasant_woman_with_white_cap.jpg
Peasant Woman Darning Stockings,1885,Nuenen,Oil on canvas on panel 28.5 x 18.5cm,F 157 - JH 712,deep136_peasant_woman_darning_stockings.jpg
"Peasant Woman, Seen Against The Window",1885,Nuenen,Oil on canvas on cardboard 41 x 32cm,F 70 - JH 715,"deep137_peasant_woman,_seen_against_the_window.jpg"
Head Of A Woman,1885,Nuenen,38.8 x 31.3cm,F70a - JH 716,deep138_head_of_a_woman.jpg
Peasant Woman Seated Before An Open Window Peeling Pototoes,1885,Nuenen,Oil on canvas on panel 36.5 x 25cm,F 73 - JH 717,deep139_peasant_woman_seated_before_an_open_window_peeling_pototoes.jpg
Head Of A Woman,1885,Nuenen,43 x 30cm,F160 - JH 722,deep140_head_of_a_woman.jpg
Bobbin Winder,1885,Nuenen,34 x 44.3cm,F175 - JH 497,deep141_bobbin_winder.jpg
Peasant Sitting At Table,1885,Nuenen,44 x 32.5cm,F 167 - JH 689,deep142_peasant_sitting_at_table.jpg
Head Of A Peasant Woman With White Cap,1885,Nuenen,44 x 36cm,F 85 - JH 693,deep143_head_of_a_peasant_woman_with_white_cap.jpg
Woman Sewing,1885,Nuenen,43.2 x 34.2cm,F71 - JH 719,deep144_woman_sewing.jpg
Study For The Potato Eaters,1885,Nuenen,43.2 x 34.2cm,F77r - JH 686,deep145_study_for_the_potato_eaters.jpg
Peasant And Peasant Woman Planting Potatoes,1885,Nuenen,33 x 41cm,F 129a - JH 727,deep146_peasant_and_peasant_woman_planting_potatoes.jpg
The Potato Eaters,1885,Nuenen,Oil on canvas on panel 72 x 93cm,F 78 - JH 734,deep147_the_potato_eaters.jpg
Still Life With Copper Coffeepot And Two White Bowls,1885,Nuenen,23 x 34cm,F 202 - JH 738,deep148_still_life_with_copper_coffeepot_and_two_white_bowls.jpg
Two Hands,1885,Nuenen,Oil on canvas on panel 29.5 x 19cm,F 66 - JH 743,deep149_two_hands.jpg
Head Of A Peasant Woman With White Cap,1885,Nuenen,Oil on canvas on cardboard 47.5 x 35.5cm,F 140 - JH 745,deep150_head_of_a_peasant_woman_with_white_cap.jpg
Landscape With Church And HousesDisputed,1885,Nuenen,22 x 37cm,F 185a - JH 761,deep151_landscape_with_church_and_houses_disputed.jpg
Evening Landscape,1885,Nuenen,Oil on canvas on cardboard 35 x 43cm,F 191 - JH 762,deep152_evening_landscape.jpg
Landscape At Sunset,1885,Nuenen,27.5 x 41.5cm,F 79 - JH 763,deep153_landscape_at_sunset.jpg
The Potato Eaters,1885,Nuenen,82 x 114cm,F 82 - JH 764,deep154_the_potato_eaters.jpg
Head Of A Woman,1885,Nuenen,43.8 x 30cm,F 69 - JH 724,deep155_head_of_a_woman.jpg
Head Of A Woman,1885,Nuenen,42.2 x 34.5cm,F 269r - JH 725,deep156_head_of_a_woman.jpg
Old Church Tower At Nuenen ('The Peasants' Churchyard'),1885,Nuenen,65 x 88cm,F 84 - JH 772,deep157_old_church_tower_at_nuenen_('the_peasants'_churchyard').jpg
The Cottage,1885,Nuenen,65.7 x 79.3cm,F 83 - JH 777,deep158_the_cottage.jpg
Head Of A Woman,1885,Nuenen,43.5 x 36.2cm,F 388r - JH 782,deep159_head_of_a_woman.jpg
"Gordina De Groot, Head",1885,Nuenen,41 x 34.5cm,F 141 - JH 783,"deep160_gordina_de_groot,_head.jpg"
Head Of A Peasant Woman,1885,Nuenen,40.5 x 34cm,F 86 - JH 785,deep161_head_of_a_peasant_woman.jpg
Head Of A Man,1885,Nuenen,42.5 x 32cm,F 179r - JH 786,deep162_head_of_a_man.jpg
Head Of A Peasant Woman In A Green Shawl,1885,Nuenen,45 x 35cm,F 155 - JH 787,deep163_head_of_a_peasant_woman_in_a_green_shawl.jpg
Woman With A Mourning Shawl,1885,Nuenen,45.5 x 33cm,F 161 - JH 788,deep164_woman_with_a_mourning_shawl.jpg
