name,year,made_at,size,catalog_no,filename
Peasant Woman By The Fireplace,1885,Nuenen,Oil on canvas on panel 29.5 x 40cm,F 158 - JH 792,deep165_peasant_woman_by_the_fireplace.jpg
Peasant Woman Cooking By A Fireplace,1885,Nuenen,44 x 38cm,F 176 - JH 799,deep166_peasant_woman_cooking_by_a_fireplace.jpg
Peasant Woman Sitting On A Chair,1885,Nuenen,Oil on panel 34 x 26cm,F 126 - JH 800,deep167_peasant_woman_sitting_on_a_chair.jpg
Cottage With Peasant Woman Digging,1885,Nuenen,Oil on canvas on panel 30.5 x 40cm,F 89 - JH 803,deep168_cottage_with_peasant_woman_digging.jpg
Cottage With Trees,1885,Nuenen,Oil on canvas on panel 32 x 46cm,F 93 - JH 805,deep169_cottage_with_trees.jpg
Cottage With Trees,1885,Nuenen,22.5 x 34cm,F 92a - JH 806,deep170_cottage_with_trees.jpg
Peasant Woman Digging In Front Her Cottage,1885,Nuenen,Oil on canvas on cardboard 31.3 x 42cm,F 142 - JH 807,deep171_peasant_woman_digging_in_front_her_cottage.jpg
Cottage With Trees And Peasant Woman,1885,Nuenen,47.5 x 46cm,F 187 - JH 808,deep172_cottage_with_trees_and_peasant_woman.jpg
Cottage,1885,Nuenen,35.5 x 67cm,F 91 - JH 809,deep173_cottage.jpg
Cottage With Trees,1885,Nuenen,44 x 59.5cm,F 92 - JH 810,deep174_cottage_with_trees.jpg
Cottage And Woman With Goat,1885,Nuenen,60 x 85cm,F 90 - JH 823,deep175_cottage_and_woman_with_goat.jpg
Cottage,1885,Nuenen,33 x 43cm,JH Add.23,deep176_cottage.jpg
Cottage With Peasant Woman Coming Home,1885,Nuenen,63.5 x 76cm,F 170 - JH 824,deep177_cottage_with_peasant_woman_coming_home.jpg
Cottage With Decrepit Barn And Stooping Woman,1885,Nuenen,62 x 113cm,F 1669 - JH 825,deep178_cottage_with_decrepit_barn_and_stooping_woman.jpg
"Peasant Woman DiggingOr Woman With A Spade, Seen From Behind,",1885,Nuenen,Oil on canvas on panel 41.5 x 32cm,F 95 - JH 827,"deep179_peasant_woman_digging_or_woman_with_a_spade,_seen_from_behind,.jpg"
Two Peasant Woman Digging,1885,Nuenen,39 x 55cm,F 96 - JH 878,deep180_two_peasant_woman_digging.jpg
Peasant Digging,1885,Nuenen,45.5 x 31.5cm,F 166 - JH 850,deep181_peasant_digging.jpg
Peasant Woman Digging,1885,Nuenen,Oil on canvas on panel 37.5 x 25.7cm,F 94 - JH 893,deep182_peasant_woman_digging.jpg
Two Peasant Woman Digging Potatoes,1885,Nuenen,Oil on canvas on panel 31.5 x 42.5cm,F 97/129 - JH 876,deep183_two_peasant_woman_digging_potatoes.jpg
Woman Lifting Potatoes,1885,Nuenen,Oil on canvas on panel 41.8 x 32.5cm,F 147 - JH 891,deep184_woman_lifting_potatoes.jpg
Peasant Woman Digging,1885,Nuenen,Oil on canvas on panel 42 x 32cm,F 95a - JH 899,deep185_peasant_woman_digging.jpg
Peasant Woman Digging Up Potatoes,1885,Nuenen,Oil on canvas on panel 31.5 x 38cm,F 98 - JH 901,deep186_peasant_woman_digging_up_potatoes.jpg
Peasant Woman Digging Up Potatoes,1885,Nuenen,38.5 x 26.5cm,F 139 - JH 905,deep187_peasant_woman_digging_up_potatoes.jpg
Peasant Woman Laundering,1885,Nuenen,29.5 x 36cm,F 148 - JH 908,deep188_peasant_woman_laundering.jpg
Sheaves Of Wheat In A Field,1885,Nuenen,40 x 30cm,F 193 - JH 914,deep189_sheaves_of_wheat_in_a_field.jpg
"Still Life With Earthenware, Bottle And Clogs",1885,Nuenen,Oil on canvas on panel 39 x 41.5cm,F 63 - JH 920,"deep190_still_life_with_earthenware,_bottle_and_clogs.jpg"
Still Life With Two Jars And Two Pumpkins,1885,Nuenen,Oil on canvas on panel 58 x 85cm,F 59 - JH 921,deep191_still_life_with_two_jars_and_two_pumpkins.jpg
Still Life With Straw Hat,1885,Nuenen,36.5 x 53.5cm,F 62 - JH 922,deep192_still_life_with_straw_hat.jpg
Still Life With Ginger Jar And Apples,1885,Nuenen,Oil on canvas on panel 30.5 x 47cm,F 104 - JH 923,deep193_still_life_with_ginger_jar_and_apples.jpg
Still Life With Ginger Jar And Onions,1885,Nuenen,39.3 x 49.6cm,F 104a - JH 924,deep194_still_life_with_ginger_jar_and_onions.jpg
Still Life With Brass Cauldron And Jug,1885,Nuenen,65.5 x 80.5cm,F 51 - JH 925,deep195_still_life_with_brass_cauldron_and_jug.jpg
Still Life With An Earthen Bowl And Pears,1885,Nuenen,33 x 43.5cm,F 105 - JH 926,deep196_still_life_with_an_earthen_bowl_and_pears.jpg
Basket Of Apples,1885,Nuenen,33.5 x 44cm,F 101 - JH 927,deep197_basket_of_apples.jpg
Still Life With Vegetables And Fruit,1885,Nuenen,32.3 x 43.2cm,F 103 - JH 928,deep198_still_life_with_vegetables_and_fruit.jpg
Still Life With A Basket Of Vegetables,1885,Nuenen,35.5 x 45.5cm,F 212a - JH 929,deep199_still_life_with_a_basket_of_vegetables.jpg
Basket Of Apples,1885,Nuenen,40.5 x 60.4cm,F 99 - JH 930,deep200_basket_of_apples.jpg
Basket Of Potatoes,1885,Nuenen,45 x 60.5cm,F 100 - JH 931,deep201_basket_of_potatoes.jpg
Still Life With Potatoes,1885,Nuenen,47 x 57cm,F 118 - JH932,deep202_still_life_with_potatoes.jpg
Basket Of Potatoes,1885,Nuenen,65 x 78.5cm,F 107 - JH 933,deep203_basket_of_potatoes.jpg
Basket Of Potatoes,1885,Nuenen,50.8 x 66cm,F 116 - JH 934,deep204_basket_of_potatoes.jpg
Still Life With A Basket Of Apples,1885,Nuenen,30 x 47cm,F 115 - JH 935,deep205_still_life_with_a_basket_of_apples.jpg
"Still Life With A Basket Of Potatoes, Surrounded By Autumn Leaves And Vegetables",1885,Nuenen,75 x 93cm,F 102 - JH 937,"deep206_still_life_with_a_basket_of_potatoes,_surrounded_by_autumn_leaves_and_vegetables.jpg"
"Still Life With A Basket Of Apples, And Two Pumpkins",1885,Nuenen,59 x 84.5cm,F 106 - JH 936,"deep207_still_life_with_a_basket_of_apples,_and_two_pumpkins.jpg"
Still Life With Three Birds' Nests,1885,Nuenen,33 x 42cm,F 112 - JH 938,deep208_still_life_with_three_birds'_nests.jpg
Still Life With Birds' Nests,1885,Nuenen,39.3 x 46.5cm,F 111 - JH 939,deep209_still_life_with_birds'_nests.jpg
Still Life With Birds' Nests,1885,Nuenen,31.4 x 43cm,F 109r - JH 942,deep210_still_life_with_birds'_nests.jpg
The Vicarage At Nuenen,1885,Nuenen,33 x 43cm,F 182 - JH 948,deep211_the_vicarage_at_nuenen.jpg
Still Life With Three Birds' Nests,1885,Nuenen,33.5 x 50cm,F 108 - JH 940,deep212_still_life_with_three_birds'_nests.jpg
Still Life With Three Birds' Nests,1885,Nuenen,Oil on canvas on panel 43 x 57cm,F 110 - JH 941,deep213_still_life_with_three_birds'_nests.jpg
View Of Amsterdam From Central Station,1885,Nuenen,Oil on panel 19 x 25.5cm,F 113 - JH 944,deep214_view_of_amsterdam_from_central_station.jpg
City View Of Amsterdam(Disputed),1885,Nuenen,Oil on canvas on panel 35 x 47cm,F 114 - JH 945,deep215_city_view_of_amsterdam_(disputed).jpg
Still Life With Bible,1885,Nuenen,65.7 x 78.5cm,F117 - JH 946,deep216_still_life_with_bible.jpg
View Of A Town With Drawbridge,1885,Nuenen,Oil on panel 42 x 49.5cm,F 210 - 947,deep217_view_of_a_town_with_drawbridge.jpg
Autumn Landscape,1885,Nuenen,Oil on canvas on panel 64.8 x 86.4cm,F 119 - 949,deep218_autumn_landscape.jpg
Country Lane With Two Figures,1885,Nuenen,Oil on canvas on panel 32 x 39.5cm,F 191a - JH 950,deep219_country_lane_with_two_figures.jpg
The De Ruijterkade In Amsterdam,1885,Amsterdam,Oil on panel 20.3 x 27cm,F 211 - JH 973,deep220_the_de_ruijterkade_in_amsterdam.jpg
Autumn Landscape At Dusk,1885,Nuenen,Oil on canvas on panel 51 x 93cm,F 121 - JH 956,deep221_autumn_landscape_at_dusk.jpg
Flying Fox,1885,Nuenen,41.5 x 79cm,F 177a - JH 1192,deep222_flying_fox.jpg
The Parsonage At Nuenen By Moonlight,1885,Nuenen,41 x 54.5cm,F 183 - JH 952,deep223_the_parsonage_at_nuenen_by_moonlight.jpg
The Parsonage Garden At Nuenen With Pond And Figures,1885,Nuenen,Oil on panel 92 x 104cm,F 124 - JH 955,deep224_the_parsonage_garden_at_nuenen_with_pond_and_figures.jpg
Landscape With Windblown Trees,1885,Nuenen,32 x 50cm,F 196 - JH 957,deep225_landscape_with_windblown_trees.jpg
Lane With Poplars,1885,Nuenen,78 x 98cm,F 45 - JH 959,deep226_lane_with_poplars.jpg
The Willow,1885,Nuenen,42 x 30,F 195 - JH 961,deep227_the_willow.jpg
Autumn Landscape With Four Trees,1885,Nuenen,64 x 89cm,F 44 - JH 962,deep228_autumn_landscape_with_four_trees.jpg
Backyards Of Old Houses In Antwerp In The Snow,1885,Antwerp,44 x 33.5cm,F 260 - JH 970,deep229_backyards_of_old_houses_in_antwerp_in_the_snow.jpg
Portrait Of An Old Man With Beard,1885,Antwerp,44.5 x 33.5cm,F 205 - JH 971,deep230_portrait_of_an_old_man_with_beard.jpg
Head Of A Woman With Her Hair Loose,1885,Antwerp,35 x 24cm,F 206 - JH 972,deep231_head_of_a_woman_with_her_hair_loose.jpg
Head Of An Old Woman With White Cap (The Midwife),1885,Antwerp,50 x 40cm,F 174 - JH 978,deep232_head_of_an_old_woman_with_white_cap_(the_midwife).jpg
Portrait Of A Woman With Red Ribbon,1885,Antwerp,60 x 50cm,F 207 - JH 979,deep233_portrait_of_a_woman_with_red_ribbon.jpg
Skull Of A Skeleton With Burning Cigarette,188586,Antwerp,32 x 24.5cm,F 212 - JH 999,deep234_skull_of_a_skeleton_with_burning_cigarette.jpg
Portrait Of A Woman In Blue,1885,Antwerp,46 x 38.5cm,F 207a - JH 1204,deep235_portrait_of_a_woman_in_blue.jpg
"Nude Study Of A Little Girl, Seated",1886[],Paris,27 x 22.5cm,F 215 - JH 1045,"deep236_nude_study_of_a_little_girl,_seated.jpg"
Plaster Statuette Of A Female Torso,1886,Paris,47 x 38cm,F 216a - JH 1054,deep237_plaster_statuette_of_a_female_torso.jpg
Plaster Statuette Of A Female Torso,1886,Paris,40.5 x 27cm,F 216g - JH 1055,deep238_plaster_statuette_of_a_female_torso.jpg
Plaster Statuette Of A Female Torso,1886,Paris,41 x 32.5cm,F 216h - JH 1058,deep239_plaster_statuette_of_a_female_torso.jpg
Plaster Statuette Of A Female Torso,1886,Paris,35 x 27cm,F 216j - JH 1059,deep240_plaster_statuette_of_a_female_torso.jpg
Plaster Statuette Of A Female Torso,1886,Paris,46.5 x 38cm,F 216b - JH 1060,deep241_plaster_statuette_of_a_female_torso.jpg
Plaster Statuette Of A Female Torso,1886,Paris,Oil on cardboard on multiplex board 35 x 27cm,F 216d - JH 1071,deep242_plaster_statuette_of_a_female_torso.jpg
Plaster Statuette Of A Female Torso,1886,Paris,Oil on cardboard on multiplex board 32.5 x 24cm,F 216i - JH 1072,deep243_plaster_statuette_of_a_female_torso.jpg
Plaster Statuette Of A Kneeling Man,1886,Paris,Oil on cardboard on multiplex board 35 x 27cm,F 216f - JH 1076,deep244_plaster_statuette_of_a_kneeling_man.jpg
Plaster Statuette Of A Male Torso,1886,Paris,Oil on cardboard on multiplex board 35 x 27cm,F 216e - JH 1078,deep245_plaster_statuette_of_a_male_torso.jpg
Horse,1886,Paris,Oil on cardboard on multiplex board 33 x 41cm,F 216c - JH 1082,deep246_horse.jpg
Self-Portrait With Dark Felt Hat,1886,Paris,41.5 x 32.5cm,F 208a - JH 1089,deep247_self-portrait_with_dark_felt_hat.jpg
Self-Portrait With Dark Felt Hat At The Easel,1886,Paris,46.5 x 38.5cm,F 181 - JH 1090,deep248_self-portrait_with_dark_felt_hat_at_the_easel.jpg
Glass With Hellebores,1886,Paris,31 x 22.5cm,F 199 - JH 1091,deep249_glass_with_hellebores.jpg
Bowl With Daffodils,1886,Paris,44 x 30cm,JH Add.1,deep250_bowl_with_daffodils.jpg
Flowers In A Blue Vase,1886,Paris,58 x 43.5cm,JH Add.20,deep251_flowers_in_a_blue_vase.jpg
Vase With Flowers,1886,Paris,41.3 x 33cm,Verified as authentic by the Van Gogh Museum in 1991,deep252_vase_with_flowers.jpg
Fritillaries,1886,Paris,38 x 55cm,F 214 - JH 1092,deep253_fritillaries.jpg
Tambourine With Pansies,1886,Paris,46 x 55.5cm,F 244 - JH 1093,deep254_tambourine_with_pansies.jpg
Still Life With Scabiosa And Ranunculus,1886,Paris,26 x 20cm,F 666 - JH 1094,deep255_still_life_with_scabiosa_and_ranunculus.jpg
View Of Roofs And Backs Of Houses,1886,Paris,30 x 41cm,F 231 - JH 1099,deep256_view_of_roofs_and_backs_of_houses.jpg
View Of Paris From Near Montmartre,1886,Paris,44.5 x 37cm,F 265 - JH 1100,deep257_view_of_paris_from_near_montmartre.jpg
View Of The Roofs Of Paris,1886,Paris,54 x 72.5cm,F 261 - JH 1101,deep258_view_of_the_roofs_of_paris.jpg
View Of Paris From Montmartre,1886,Paris,38.5 x 61.5,F 262 - JH 1102,deep259_view_of_paris_from_montmartre.jpg
Still Life With Meadow Flowers And Roses,1886,Paris,99 x 79cm,F 278 - JH 1103,deep260_still_life_with_meadow_flowers_and_roses.jpg
Vase With Red Poppies,1886,Paris,56 x 46.5cm,F 279 - JH 1104[b],deep261_vase_with_red_poppies.jpg
Bowl With Peonies And Roses,1886,Paris,59 x 71cm,F 249 - JH 1105,deep262_bowl_with_peonies_and_roses.jpg
Vase With Myosotis And Peonies,1886,Paris,34.5 x 27.5cm,F 243a - JH 1106,deep263_vase_with_myosotis_and_peonies.jpg
Vase With Peonies,1886,Paris,34 x 45cm,F 666a - JH 1107,deep264_vase_with_peonies.jpg
The Fourteenth Of July Celebration In Paris,1886,Paris,44 x 39cm,F 222 - JH 1108,deep265_the_fourteenth_of_july_celebration_in_paris.jpg
The Pont Du Carrousel And The Louvre,1886,Paris,31 x 44cm,F 221 - JH 1109,deep266_the_pont_du_carrousel_and_the_louvre.jpg
The Bois De Boulogne With People Walking,1886,Paris,37.5 x 45.5cm,F 225 - JH 1110,deep267_the_bois_de_boulogne_with_people_walking.jpg
Lane At The Jardin Du Luxembourg,1886,Paris,27.5 x 46cm,F 223 - JH 1111,deep268_lane_at_the_jardin_du_luxembourg.jpg
Bois De Boulogne With People Walking,1886,Paris,46.5 x 37cm,F 224 - JH 1112,deep269_bois_de_boulogne_with_people_walking.jpg
Bois De Boulogne With People Walking,1886,Paris,37.5 x 45.5cm,JH Add.2,deep270_bois_de_boulogne_with_people_walking.jpg
Sloping Path In Montmartre,1886,Paris,Oil on cardboard on multiplex board 22 x 16cm,F 232 - JH 1113,deep271_sloping_path_in_montmartre.jpg
"Twilight, Before The Storm: Montmartre",1886,Paris,Oil on cardboard 15 x 10cm,F 1672 - JH 1114,"deep272_twilight,_before_the_storm.jpg"
Le Moulin De La Galette,1886,Paris,46 x 38cm,F 274 - JH 1115,deep273_le_moulin_de_la_galette.jpg
Le Moulin De Blute-Fin,1886,Paris,46.5 x 38cm,F 273 - JH 1116,deep274_le_moulin_de_blute-fin.jpg
Le Blute-Fin Mill,1886,Paris,55.2 x 38,Recently discovered and authenticated by the Van Gogh Museum in Amsterdam in 2010.[6],deep275_le_blute-fin_mill.jpg
"Still Life With Mackerels, Lemon And Tomato",1886,Paris,39 x 56.5cm,F 285 - JH 1118,"deep276_still_life_with_mackerels,_lemon_and_tomato.jpg"
"Still Life With Meat, Vegetables And Pottery",1886,Paris,33.5 x 41cm,F 1670 - JH 1119,"deep277_still_life_with_meat,_vegetables_and_pottery.jpg"
Still Life With Bloaters,1886,Paris,21 x 42cm,F 283 - JH 1120,deep278_still_life_with_bloaters.jpg
"Still Life With Bottle, Two Glasses, Cheese And Bread",1886,Paris,37.5 x 46cm,F 253 - JH 1121,"deep279_still_life_with_bottle,_two_glasses,_cheese_and_bread.jpg"
"Still Life With Two Herrings, A Cloth And A Glass",1886,Paris,32.5 x 46cm,F 1671 - JH 1122,"deep280_still_life_with_two_herrings,_a_cloth_and_a_glass.jpg"
Smoked Herring,1886,Paris,45 x 38cm,F 203 - JH 1123,deep281_smoked_herring.jpg
A Pair Of Shoes,1886,Paris,37.5 x 45cm,F 255 - JH 1124,deep282_a_pair_of_shoes.jpg
Ginger Jar Filled With Chrysanthemums,1885,Nuenen,40 x 29.5cm,F 198 - JH 1125,deep283_ginger_jar_filled_with_chrysanthemums.jpg
"Vase With Asters, Salvia And Other Flowers",1886,Paris,70.5 x 34cm,F 286 - JH 1127,"deep284_vase_with_asters,_salvia_and_other_flowers.jpg"
Vase With Gladioli And Lilac,1886,Paris,69 x 33.5cm,F 286a - JH 1128,deep285_vase_with_gladioli_and_lilac.jpg
Vase With Carnations,1886,Paris,43.2 x 35.6cm,F 243 - JH 1129,deep286_vase_with_carnations.jpg
Vase With White And Red Carnations,1886,Paris,58 x 45.5cm,F 236 - JH 1130,deep287_vase_with_white_and_red_carnations.jpg
Vase With Gladioli And Carnations,1886,Paris,65.5 x 35cm,F 237 - JH 1131,deep288_vase_with_gladioli_and_carnations.jpg
Vase With Carnations And Zinnias,1886,Paris,Oil on canvas on panel 61 x 50.2cm,F 259 - JH 1132,deep289_vase_with_carnations_and_zinnias.jpg
Vase With Zinnias And Geraniums,1886,Paris,61 x 45.9cm,F 241 - JH 1134,deep290_vase_with_zinnias_and_geraniums.jpg
Vase With Carnations And Other Flowers,1886,Paris,61 x 38cm,F 596 - JH 1135,deep291_vase_with_carnations_and_other_flowers.jpg
Vase With Hollyhocks,1886,Paris,91 x 50.5cm,F 235 - JH 1136,deep292_vase_with_hollyhocks.jpg
Poppy Flowers,1886,Paris,65 x 54cm,F 324a - JH 1137,deep293_poppy_flowers.jpg
Vase With Carnations,1886,Paris,40 x 32.5cm,F 220 - JH 1138,deep294_vase_with_carnations.jpg
Geranium In A Flowerpot,1886,Paris,46 x 38cm,F 201 - JH 1139,deep295_geranium_in_a_flowerpot.jpg
Vase With Zinnias,1886,Paris,61 x 48cm,F 252 - JH 1140,deep296_vase_with_zinnias.jpg
White Vase With Roses And Other Flowers,1886,Paris,37 x 25.5cm,F 258 - JH 1141,deep297_white_vase_with_roses_and_other_flowers.jpg
Vase With Zinnias And Other Flowers,1886,Paris,50.2 x 61cm,F 251 - JH 1142,deep298_vase_with_zinnias_and_other_flowers.jpg
Coleus Plant In A Flowerpot,1886,Paris,42 x 22cm,F 281 - JH 1143,deep299_coleus_plant_in_a_flowerpot.jpg
Glass With Roses,1886,Paris,35 x 27cm,F 218 - JH 1144,deep300_glass_with_roses.jpg
Vase With Carnations,1886,Paris,46 x 37.5cm,F 245 - JH 1145,deep301_vase_with_carnations.jpg
Vase With Red Gladioli,1886,Paris,50 x 39cm,F 248 - JH 1146,deep302_vase_with_red_gladioli.jpg
Vase With Gladioli And Carnations,1886,Paris,78.5 x 40.5cm,F 242 - JH 1147,deep303_vase_with_gladioli_and_carnations.jpg
Vase With Gladioli,1886,Paris,46.5 x 38.5cm,F 248a - JH 1148,deep304_vase_with_gladioli.jpg
Vase With Red Gladioli,1886,Paris,65 x 40cm,F 247 - JH 1149,deep305_vase_with_red_gladioli.jpg
Vase With Red Gladioli,1886,Paris,65 x 35cm,F 248b - JH 1150,deep306_vase_with_red_gladioli.jpg
Bowl With Chrysanthemums,1886,Paris,46 x 61cm,F 217 - JH 1164,deep307_bowl_with_chrysanthemums.jpg
Cineraria In A Flowerpot,1886,Paris,54.5 x 46cm,F 282 - JH 1165,deep308_cineraria_in_a_flowerpot.jpg
"Bowl With Sunflowers, Roses And Other Flowers",1886,Paris,50 x 61cm,F 250 - JH 1166,"deep309_bowl_with_sunflowers,_roses_and_other_flowers.jpg"
Vase With Daisies,1886,Paris,40 x 56cm,F 197 - JH 1167,deep310_vase_with_daisies.jpg
Vase With Asters And Phlox,1886,Paris,61 x 46cm,F 234 - JH 1168,deep311_vase_with_asters_and_phlox.jpg
Still Life With Prawns And Mussels,1886,Paris,26.5 x 34.5cm,F 256 - JH 1169,deep312_still_life_with_prawns_and_mussels.jpg
Still Life With Fruit And Chestnuts,1886,Paris,27 x 35.6cm,Authenticated by the Van Gogh Museum in January 2019[7],deep313_still_life_with_fruit_and_chestnuts.jpg
Le Moulin De La Galette,1886,Paris,38.5 x 46cm,F 227 - JH 1170,deep314_le_moulin_de_la_galette.jpg
Le Moulin De La Galette,1886,Paris,38 x 46.5cm,F 228 - JH 1171,deep315_le_moulin_de_la_galette.jpg
Le Moulin De La Galette,1886,Paris,38 x 46cm,F 226 - JH 1172,deep316_le_moulin_de_la_galette.jpg
View Of Montmartre With Windmills,1886,Paris,36 x 61cm,F 266 - JH 1175,deep317_view_of_montmartre_with_windmills.jpg
The Hill Of Montmartre With Quarry,1886,Paris,32 x 41cm,F 219 - JH 1176,deep318_the_hill_of_montmartre_with_quarry.jpg
The Hill Of Montmartre With Quarry,1886,Paris,56 x 62.5cm,F 230 - JH 1177,deep319_the_hill_of_montmartre_with_quarry.jpg
Terrace Of A Cafe On Montmartre (La Guinguette),1886,Paris,49 x 64cm,F 238 - JH 1178,deep320_terrace_of_a_cafe_on_montmartre_(la_guinguette).jpg
Outskirts Of Paris,1886,Paris,Oil on canvas on cardboard 45.7 x 54.6cm,F 264 - JH 1179,deep321_outskirts_of_paris.jpg
View Of Montmartre With Quarry(Disputed),1886,Paris,22 x 33cm,F 233 - JH 1180,deep322_view_of_montmartre_with_quarry_(disputed).jpg
Le Moulin De La Galette,1886,Paris,61 x 50cm,F 348 - JH 1182,deep323_le_moulin_de_la_galette.jpg
"Terrace And Observation Deck At The Moulin De Blute-Fin, Montmartre",1886,Paris,43.6 x 33cm,F 272 - JH 1183,"deep324_terrace_and_observation_deck_at_the_moulin_de_blute-fin,_montmartre.jpg"
Le Moulin De La Galette,1886,Paris,55 x 38.5cm,F 349 - JH 1184,deep325_le_moulin_de_la_galette.jpg
Windmill On Montmartre,1886,Paris,46.5 x 38cm,F 271 - JH 1186,deep326_windmill_on_montmartre.jpg
The Kingfisher,1886,Paris,19 x 26.5cm,F 28 - JH 1191,deep327_the_kingfisher.jpg
The Green Parrot(Disputed),1886,Paris,48 x 43cm,F 14 - JH 1193,deep328_the_green_parrot_(disputed).jpg
Self-Portrait With Pipe,1886,Paris,46 x 38cm,F 180 - JH 1194,deep329_self-portrait_with_pipe.jpg
Self-Portrait With Pipe,1886,Paris,27 x 19cm,F 208 - JH 1195,deep330_self-portrait_with_pipe.jpg
Self-Portrait,1886,Paris,39.5 x 29.5cm,F 178v - JH 1198,deep331_self-portrait.jpg
Self-Portrait With Pipe And Glass,1887,Paris,61 x 50cm,F 263a - JH 1199,deep332_self-portrait_with_pipe_and_glass.jpg
